,longitude,latitude,arvT,levT,stayTime,distance
295,110.303886,25.318321,4/30/2019 19:29,4/30/2019 21:40,7859,0
296,110.304313,25.352201,4/30/2019 22:31,5/1/2019 7:20,31753,0
297,110.304252,25.352134,5/1/2019 7:20,5/1/2019 7:27,426,0
298,110.316299,25.39075,5/1/2019 7:32,5/1/2019 7:47,936,0
299,111.133308,25.439487,5/1/2019 10:40,5/1/2019 13:40,10749,0
300,111.13282,25.439353,5/1/2019 16:27,5/1/2019 19:32,11149,0
301,111.133415,25.439577,5/1/2019 19:34,5/1/2019 21:28,6858,0
302,111.15802,25.483739,5/1/2019 21:41,5/3/2019 8:57,40582,0
303,111.112533,25.565951,5/3/2019 9:26,5/3/2019 10:11,2713,0.222389853
304,111.158119,25.484069,5/3/2019 10:52,5/3/2019 12:20,5263,0
305,110.674316,25.583044,5/3/2019 14:19,5/3/2019 14:25,349,0
306,110.30397,25.352167,5/3/2019 16:12,5/4/2019 9:17,61470,0
307,110.303924,25.35218,5/4/2019 9:17,5/4/2019 9:24,409,0
308,110.293144,25.221733,5/4/2019 10:17,5/4/2019 10:29,701,0
309,110.293167,25.221736,5/4/2019 10:32,5/4/2019 10:50,1106,0
310,110.293197,25.221784,5/4/2019 10:59,5/4/2019 11:05,334,0
311,110.293182,25.221761,5/4/2019 11:05,5/4/2019 12:23,4675,0
312,110.311744,25.316459,5/4/2019 13:22,5/4/2019 16:01,9565,0
313,110.304496,25.352989,5/5/2019 9:03,5/5/2019 9:09,396,0
314,110.30973,25.373188,5/5/2019 10:50,5/5/2019 14:29,13099,0
315,110.303955,25.318273,5/5/2019 14:51,5/5/2019 16:43,6678,0
316,110.298988,25.332862,5/5/2019 16:58,5/5/2019 17:06,459,0
317,110.299003,25.332839,5/5/2019 17:06,5/5/2019 17:16,618,0
318,110.299766,25.322486,5/5/2019 17:19,5/6/2019 8:32,54743,0
319,110.303749,25.318445,5/6/2019 8:44,5/6/2019 22:11,48369,0
320,110.300193,25.321935,5/6/2019 22:15,5/7/2019 7:19,32652,0
321,110.303894,25.318334,5/7/2019 7:21,5/8/2019 11:32,15096,0
322,110.303916,25.318376,5/8/2019 11:32,5/8/2019 11:54,1309,0
323,110.311882,25.316351,5/8/2019 11:55,5/8/2019 12:35,2386,0.33358478
324,110.312652,25.342527,5/8/2019 17:03,5/8/2019 18:05,3728,0
325,110.303764,25.347389,5/9/2019 11:55,5/9/2019 14:31,9341,0
326,110.302505,25.356193,5/9/2019 14:32,5/9/2019 15:53,4856,0
327,110.300872,25.341667,5/9/2019 15:54,5/9/2019 16:14,1204,0
328,110.303901,25.318374,5/9/2019 16:26,5/9/2019 19:02,9351,0
329,110.313873,25.315397,5/9/2019 19:53,5/9/2019 21:47,6861,0
330,110.304557,25.35321,5/9/2019 22:22,5/10/2019 11:42,48040,0
331,110.275039,25.262069,5/10/2019 12:29,5/10/2019 13:08,2347,0
332,110.332527,25.258539,5/10/2019 14:01,5/10/2019 14:10,526,0
333,110.317184,25.265499,5/10/2019 16:01,5/10/2019 22:02,21653,0.222389854
334,110.31594,25.321516,5/10/2019 22:18,5/10/2019 23:17,3514,0
335,110.315139,25.32093,5/13/2019 16:38,5/23/2019 17:11,1952,0
336,110.30384,25.31812,5/23/2019 17:29,5/23/2019 18:52,4970,0
337,110.299789,25.322563,5/23/2019 18:57,5/24/2019 0:52,21279,0
338,110.304138,25.351886,5/24/2019 1:14,5/25/2019 12:35,40903,0
339,110.304847,25.356092,5/25/2019 12:37,5/25/2019 13:07,1778,0
340,110.290901,25.28652,5/25/2019 13:36,5/25/2019 13:52,951,0
341,110.290908,25.286632,5/25/2019 13:52,5/25/2019 14:12,1223,0
342,110.31282,25.316974,5/25/2019 15:23,5/25/2019 15:39,967,0
343,110.31285,25.316993,5/25/2019 15:39,5/25/2019 16:17,2265,0
344,110.281906,25.27705,5/25/2019 18:14,5/25/2019 18:28,859,0
345,110.306709,25.346084,5/25/2019 19:29,5/25/2019 19:47,1040,0
346,110.306716,25.346103,5/25/2019 19:47,5/25/2019 20:49,3744,0
347,110.304313,25.352354,5/25/2019 21:06,5/26/2019 7:32,37505,0
348,110.304321,25.35214,5/26/2019 7:32,5/26/2019 7:40,480,0
349,110.294471,25.306423,5/26/2019 7:57,5/26/2019 8:03,338,0
350,110.281532,25.277118,5/26/2019 9:10,5/26/2019 9:43,1988,0
351,110.304046,25.352256,5/26/2019 11:39,5/26/2019 15:07,12462,0
352,110.311798,25.316385,5/26/2019 15:30,5/26/2019 17:57,8797,0.444779707
353,110.317939,25.262266,5/26/2019 19:16,5/26/2019 20:44,5287,0
354,110.304061,25.351873,5/27/2019 17:20,5/27/2019 17:27,454,0
355,110.304061,25.318103,5/27/2019 17:42,5/27/2019 18:15,1933,0
